"1.NP", , ,"0/-/-","","","","","Auto"
 , ,"Rozvadec Rele N state","0/0/71","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele O state","0/0/72","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele P state","0/0/73","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele Q state","0/0/74","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele R state","0/0/75","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele S state","0/0/76","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele T state","0/0/77","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele U state","0/0/78","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele V state","0/0/79","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele W state","0/0/80","","","","DPST-1-1","Auto"
 , ,"Rozvadec Rele X state","0/0/81","","","","DPST-1-1","Auto"
 ,"Senzory (sensors)", ,"0/1/-","","","","","Auto"
 , ,"Kuchyne PIR jas","0/1/0","","","","DPST-9-4","Auto"
 , ,"Kuchyne PIR teplota","0/1/1","","","","DPST-9-1","Auto"
 , ,"Kuchyne tlacitko teplota","0/1/2","","","","DPST-9-1","Auto"
 , ,"Chodba_prizemi tlacitko teplota ","0/1/3","","","","DPST-9-1","Auto"
 , ,"Obyvak PIR teplota","0/1/4","","","","DPST-9-1","Auto"
 , ,"Obyvak PIR jas ","0/1/5","","","","DPST-9-4","Auto"
 , ,"Garaz tlacitko teplota","0/1/6","","","","DPST-9-1","Auto"
 , ,"Satna PIR teplota","0/1/7","","","","DPST-9-1","Auto"
 , ,"Loznice PIR teplota","0/1/8","","","","DPST-9-1","Auto"
 , ,"Zadveri PIR teplota","0/1/9","","","","DPST-9-1","Auto"
 , ,"Technicka tlacitko teplota","0/1/10","","","","DPST-9-1","Auto"
 , ,"Spiz PIR teplota","0/1/11","","","","DPST-9-1","Auto"
 , ,"Koupelna_prizemi PIR teplota","0/1/12","","","","DPST-9-1","Auto"
 , ,"Zachod PIR teplota","0/1/13","","","","DPST-9-1","Auto"
 , ,"Chodba_prizemi PIR teplota","0/1/14","","","","DPST-9-1","Auto"
 , ,"Garaz PIR jas","0/1/15","","","","DPST-9-4","Auto"
 , ,"Loznice PIR jas","0/1/16","","","","DPST-9-4","Auto"
 , ,"Satna PIR jas","0/1/17","","","","DPST-9-4","Auto"
 , ,"Koupelna_prizemi PIR jas","0/1/18","","","","DPST-9-4","Auto"
 , ,"Zadveri PIR jas","0/1/19","","","","DPST-9-4","Auto"
 , ,"Technicka PIR jas","0/1/20","","","","DPST-9-4","Auto"
 , ,"Spiz PIR jas","0/1/21","","","","DPST-9-4","Auto"
 , ,"Chodba_prizemi PIR jas","0/1/22","","","","DPST-9-4","Auto"
 , ,"Zachod tlacitko teplota","0/1/23","","","","DPST-9-1","Auto"
 , ,"Technicka PIR teplota","0/1/24","","","","DPST-9-1","Auto"
 , ,"Garaz PIR teplota","0/1/25","","","","DPST-9-1","Auto"
 , ,"Koupelna_prizemi teplomer vlhkost","0/1/26","","","","DPST-9-1","Auto"
 , ,"Koupelna_prizemi telpomer teplota","0/1/27","","","","DPST-9-1","Auto"
 , ,"Koupelna_prizemi telpomer absolutni_vlhkost","0/1/28","","","","DPST-9-1","Auto"
 , ,"Loznice tlacitko teplota","0/1/29","","","","DPST-9-1","Auto"
 , ,"Zachod PIR jas","0/1/30","","","","DPST-9-4","Auto"
 ,"Binarni senzory (binary sensors)", ,"0/2/-","","","","","Auto"
 , ,"Kuchyne PIR pohyb","0/2/0","","","","DPST-1-1","Auto"
 , ,"Obyvak PIR pohyb","0/2/3","","","","DPST-1-1","Auto"
 , ,"Chodba_prizemi PIR pohyb","0/2/4","","","","DPST-1-1","Auto"
 , ,"Loznice PIR pohyb","0/2/5","","","","DPST-1-1","Auto"
 , ,"Technicka PIR pohyb","0/2/6","","","","DPST-1-1","Auto"
 , ,"Koupelna_prizemi PIR pohyb","0/2/7","","","","DPST-1-1","Auto"
 , ,"Satna PIR pohyb","0/2/8","","","","DPST-1-1","Auto"
 , ,"Spiz PIR pohyb","0/2/9","","","","DPST-1-1","Auto"
 , ,"Garaz PIR pohyb","0/2/10","","","","DPST-1-1","Auto"
 , ,"Zadveri PIR pohyb","0/2/11","","","","DPST-1-1","Auto"
 , ,"Zachod PIR pohyb","0/2/12","","","","DPST-1-1","Auto"
 ,"Tlacitka (buttons)", ,"0/3/-","","","","","Auto"
 , ,"Obyvak tlacitko 1","0/3/0","","","","DPST-1-1","Auto"
 , ,"Obyvak tlacitko 2","0/3/1","","","","DPST-1-1","Auto"
 , ,"Obyvak tlacitko 3","0/3/2","","","","DPST-1-1","Auto"
 , ,"Obyvak tlacitko 4","0/3/3","","","","DPST-1-1","Auto"
 , ,"Kuchyne tlacitko 1","0/3/8","","","","DPST-1-1","Auto"
 , ,"Kuchyne tlacitko 2","0/3/9","","","","DPST-1-1","Auto"
 , ,"Kuchyne tlacitko 3","0/3/10","","","","DPST-1-1","Auto"
 , ,"Kuchyne tlacitko 4","0/3/11","","","","DPST-1-1","Auto"
 , ,"Chodba_prizemi tlacitko 1","0/3/20","","","","DPST-1-1","Auto"
 , ,"Chodba_prizemi tlacitko 2","0/3/22","","","","DPST-1-1","Auto"
 , ,"Chodba_prizemi tlacitko 3","0/3/23","","","","DPST-1-1","Auto"
 , ,"Chodba_prizemi tlacitko 4","0/3/24","","","","DPST-1-1","Auto"
