primary,secondary,name,address,ahoj
 , ,"Kuchyne tlacitko blokace","0/3/21","","","","DPST-1-1","Auto"
 , ,"Chodba tlacitko 2","0/3/22","","","","DPST-1-1","Auto"
 , ,"Chodba tlacitko 3","0/3/23","","","","DPST-1-1","Auto"
 , ,"Chodba tlacitko 4","0/3/24","","","","DPST-1-1","Auto"
 , ,"Chodba tlacitko 1 dlouhy","0/3/25","","","","DPST-1-1","Auto"
 , ,"Chodba tlacitko 2 dlouhy","0/3/26","","","","DPST-1-1","Auto"
 , ,"Chodba tlacitko 3 dlouhy","0/3/27","","","","DPST-1-1","Auto"
 , ,"Chodba tlacitko 4 dlouhy","0/3/28","","","","DPST-1-1","Auto"
 , ,"Chodba tlacitko 1 LED","0/3/29","","","","DPST-5-5","Auto"
 , ,"Chodba tlacitko 2 LED","0/3/30","","","","DPST-5-5","Auto"
 , ,"Chodba tlacitko 3 LED","0/3/31","","","","DPST-5-5","Auto"
 , ,"Chodba tlacitko 4 LED","0/3/32","","","","DPST-5-5","Auto"
 , ,"Chodba tlacitko blokace","0/3/33","","","","DPST-1-1","Auto"
 , ,"obyvak_4_LED","0/3/34","","","","DPST-5-5","Auto"
 , ,"obyvak_3_LED","0/3/35","","","","DPST-5-5","Auto"
 , ,"obyvak_2_LED","0/3/36","","","","DPST-5-5","Auto"
 , ,"obyvak_1_LED","0/3/37","","","","DPST-5-5","Auto"
 , ,"Zachod tlacitko 1","0/3/39","","","","DPST-1-1","Auto"
 , ,"Zachod tlacitko 2","0/3/40","","","","DPST-1-1","Auto"
 , ,"Zachod tlacitko 3","0/3/41","","","","DPST-1-1","Auto"
 , ,"Zachod tlacitko 4","0/3/42","","","","DPST-1-1","Auto"
 , ,"Zachod tlacitko 1 dlouhy","0/3/43","","","","DPST-1-1","Auto"
 , ,"Zachod tlacitko 2 dlouhy","0/3/44","","","","DPST-1-1","Auto"
 , ,"Zachod tlacitko 3 dlouhy","0/3/45","","","","DPST-1-1","Auto"
 , ,"Zachod tlacitko 4 dlouhy","0/3/46","","","","DPST-1-1","Auto"
 , ,"Zachod tlacitko 1 LED","0/3/47","","","","DPST-5-5","Auto"
 , ,"Zachod tlacitko 2 LED","0/3/48","","","","DPST-5-5","Auto"
 , ,"Zachod tlacitko 3 LED","0/3/49","","","","DPST-5-5","Auto"
 , ,"Zachod tlacitko 4 LED","0/3/50","","","","DPST-5-5","Auto"
 , ,"Zachod tlacitko blokace","0/3/51","","","","DPST-1-1","Auto"
 , ,"Garaz tlacitko 1","0/3/52","","","","DPST-1-1","Auto"
 , ,"Garaz tlacitko 1 dlouhy","0/3/53","","","","DPST-1-1","Auto"
 , ,"Garaz tlacitko 1 LED","0/3/54","","","","DPST-5-5","Auto"
 , ,"Garaz tlacitko 2","0/3/55","","","","DPST-1-1","Auto"
 , ,"Garaz tlacitko 2 dlouhy","0/3/56","","","","DPST-1-1","Auto"
 , ,"Garaz tlacitko 2 LED","0/3/57","","","","DPST-5-5","Auto"
 , ,"Garaz tlacitko 3","0/3/58","","","","DPST-1-1","Auto"
 , ,"Garaz tlacitko 3 dlouhy","0/3/59","","","","DPST-1-1","Auto"
 , ,"Garaz tlacitko 3 LED","0/3/60","","","","DPST-5-5","Auto"
 , ,"Garaz tlacitko 4","0/3/61","","","","DPST-1-1","Auto"
 , ,"Garaz tlacitko 4 dlouhy","0/3/62","","","","DPST-1-1","Auto"
 , ,"Garaz tlacitko 4 LED","0/3/63","","","","DPST-5-5","Auto"
 , ,"Garaz tlacitko blokace","0/3/64","","","","DPST-1-1","Auto"
 , ,"Technicka tlacitko 1","0/3/65","","","","DPST-1-1","Auto"
 , ,"Technicka tlacitko 1 dlouhy","0/3/66","","","","DPST-1-1","Auto"
 , ,"Technicka tlacitko 1 LED","0/3/67","","","","DPST-5-5","Auto"
 , ,"Technicka tlacitko 2","0/3/68","","","","DPST-1-1","Auto"
 , ,"Technicka tlacitko 2 dlouhy","0/3/69","","","","DPST-1-1","Auto"
 , ,"Technicka tlacitko 2 LED","0/3/70","","","","DPST-5-5","Auto"
 , ,"Technicka tlacitko 3","0/3/71","","","","DPST-1-1","Auto"
 , ,"Technicka tlacitko 3 dlouhy","0/3/72","","","","DPST-1-1","Auto"
 , ,"Technicka tlacitko 3 LED","0/3/73","","","","DPST-5-5","Auto"
 , ,"Technicka tlacitko 4","0/3/74","","","","DPST-1-1","Auto"
 , ,"Technicka tlacitko 4 dlouhy","0/3/75","","","","DPST-1-1","Auto"
 , ,"Technicka tlacitko 4 LED","0/3/76","","","","DPST-5-5","Auto"
 , ,"Technicka tlacitko blokace","0/3/77","","","","DPST-1-1","Auto"
 , ,"Loznice tlacitko 1","0/3/78","","","","DPST-1-1","Auto"
 , ,"Loznice tlacitko 1 dlouhy","0/3/79","","","","DPST-1-1","Auto"
 , ,"Loznice tlacitko 1 LED","0/3/80","","","","DPST-5-5","Auto"
 , ,"Loznice tlacitko 2","0/3/81","","","","DPST-1-1","Auto"
 , ,"Loznice tlacitko 2 dlouhy","0/3/82","","","","DPST-1-1","Auto"
 , ,"Loznice tlacitko 2 LED","0/3/83","","","","DPST-5-5","Auto"
 , ,"Loznice tlacitko 3","0/3/84","","","","DPST-1-1","Auto"
 , ,"Loznice tlacitko 3 dlouhy","0/3/85","","","","DPST-1-1","Auto"
 , ,"Loznice tlacitko 3 LED","0/3/86","","","","DPST-5-5","Auto"
 , ,"Loznice tlacitko 4","0/3/87","","","","DPST-1-1","Auto"
 , ,"Loznice tlacitko 4 dlouhy","0/3/88","","","","DPST-1-1","Auto"
 , ,"Loznice tlacitko 4 LED","0/3/89","","","","DPST-5-5","Auto"
 , ,"Loznice tlacitko blokace","0/3/90","","","","DPST-1-1","Auto"
 , ,"Koupelna tlacitko 1","0/3/91","","","","DPST-1-1","Auto"
 , ,"Koupelna tlacitko 1 dlouhy","0/3/92","","","","DPST-1-1","Auto"
 , ,"Koupelna tlacitko 1 LED","0/3/93","","","","DPST-5-5","Auto"
 , ,"Koupelna tlacitko 2","0/3/94","","","","DPST-1-1","Auto"
 , ,"Koupelna tlacitko 2 dlouhy","0/3/95","","","","DPST-1-1","Auto"
 , ,"Koupelna tlacitko 2 LED","0/3/96","","","","DPST-5-5","Auto"
